group,image_team,image_player,name_norm,team_norm,image_count,folder_path
Group A,Ecuador,Moisés Caicedo,moises caicedo,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Mois├⌐s Caicedo
Group A,Ecuador,Moisés Ramírez,moises ramirez,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Mois├⌐s Ram├¡rez
Group A,Ecuador,Pervis Estupiñán,pervis estupinan,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Pervis Estupi├▒├ín
Group A,Ecuador,Piero Hincapié,piero hincapie,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Piero Hincapi├⌐
Group A,Ecuador,Robert Arboleda,robert arboleda,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Robert Arboleda
Group A,Ecuador,Romario Ibarra,romario ibarra,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Romario Ibarra
Group A,Ecuador,Sebas Méndez,sebas mendez,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Sebas M├⌐ndez
Group A,Ecuador,William Pacho,william pacho,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_William Pacho
Group A,Ecuador,Xavier Arreaga,xavier arreaga,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Xavier Arreaga
Group A,Ecuador,Ángel Mena,angel mena,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_├üngel Mena
Group A,Ecuador,Ángelo Preciado,angelo preciado,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_├üngelo Preciado
